,Temp,TGA,DrTGA,vel_cal
0,1074.112183,3.623613,-0.000197,10
1,325.878101,11.268303,-0.000662,5
2,998.682312,3.784727,-0.00024,10
3,682.1845089999999,5.294692,-0.001274,5
4,357.468208,11.299652,-0.000835,15
5,1168.262695,2.949367,-0.000508,5
6,638.328888,6.193174,-0.001845,5
7,943.154785,3.69282,0.000206,5
8,316.390438,11.28803,-0.000483,5
9,1162.002686,3.410163,-0.000759,10
10,901.333801,4.041959,-0.001142,15
11,311.269218,11.559175,0.000294,10
12,301.909191,11.387639,0.00046,15
13,490.222733,10.504167,-0.000753,5
14,819.473755,4.197139,-3.2e-05,5
15,470.04422,10.680704,-0.000494,5
16,309.945652,11.292781,-7.4e-05,5
17,866.97699,4.176348,-0.000236,10
18,378.786804,11.029782,-5.2e-05,5
19,512.233597,10.621159,-0.002829,10
20,337.539886,11.221607,-0.000523,5
21,376.44722,11.34886,-0.000865,10
22,549.758636,9.27775,-0.002294,5
23,891.924988,4.094208,-2.6e-05,10
24,892.300171,3.905049,-8.2e-05,5
25,979.618652,3.826264,-0.000606,10
26,1077.0894170000001,3.616833,0.000102,10
27,648.0352780000001,5.94617,-0.001974,5
28,999.926514,3.781985,-0.000579,10
29,1110.1686399999999,3.185999,-3.4e-05,5
30,917.507507,3.79383,6.6e-05,5
31,529.14035,9.882122,-0.002194,5
32,1030.295349,3.439373,0.000217,5
33,404.56105,10.939405,-0.000424,5
34,589.885803,8.56432,-0.005658,10
35,649.2099000000001,6.384005,-0.00471,10
36,1163.8828130000002,3.385861,-0.000342,15
37,398.122749,10.958272,-0.000663,5
38,502.638596,10.748071,-0.002226,10
39,589.068298,7.986519,-0.003126,5
40,362.486183,11.274482,-0.001295,15
41,995.187378,3.540198,-0.000183,5
42,336.609585,11.228519,-0.000343,5
43,672.2738039999999,5.453268,-0.000884,5
44,1143.415955,3.456105,-0.000488,10
45,827.170044,4.165732,-0.000484,5
46,1172.232544,3.382285,-0.000376,10
47,977.414124,3.587011,0.000236,5
48,1115.8167720000001,3.162264,-0.000472,5
49,370.94836399999997,11.058562,-0.000764,5
50,606.451324,7.282669,-0.003005,5
51,394.993149,10.971128,-0.000302,5
52,622.637787,6.663748,-0.002285,5
53,522.527191,10.42045,-0.003759,15
54,685.640198,5.240764,-0.001144,5
55,510.780807,10.579041,-0.003549,15
56,363.770119,11.09169,-0.000455,5
57,640.227905,6.140623,-0.002303,5
58,370.47496,11.376834,-0.000715,10
59,477.14331100000004,10.629546,-0.000623,5
60,711.924164,5.200023,-0.003332,15
61,394.33903499999997,10.971791,0.000177,5
62,412.54693599999996,10.915861,0.000248,5
63,1110.888367,3.512557,-0.00091,15
64,521.495743,10.480468,-0.002927,10
65,335.218613,11.527276,-0.000654,10
66,483.310226,10.928993,-0.000844,10
67,521.21936,10.438895,-0.00385,15
68,935.848511,3.720412,-0.000604,5
69,623.731659,7.461555,-0.010497,15
70,549.7497559999999,9.80893,-0.00505,10
71,1136.0164180000002,3.454275,1e-06,15
72,1011.387207,3.490752,8.7e-05,5
73,715.281189,5.120021,-0.002407,10
