,Temp,TGA,DrTGA,vel_cal
0,390.0149,10.813725,-0.000319,5
1,465.71679700000004,10.472426,-0.000311,5
2,391.342148,10.807827,0.000281,5
3,1012.518982,3.785055,-0.000859,5
4,448.69097899999997,10.862977,-0.001054,15
5,798.751526,4.624067,-0.00083,5
6,914.979736,4.430062,-0.001108,10
7,464.007935,10.490252,-0.000292,5
8,619.936584,6.353981,-0.000641,5
9,939.440552,4.278551,-0.000688,10
10,741.000275,5.26925,-0.001888,10
11,509.845825,10.271633,-0.00493,15
12,584.710419,7.954847,-0.011007,15
13,726.9891359999999,5.108701,-0.0009,5
14,535.9802549999999,8.993951,-0.002812,5
15,975.596741,4.160431,-0.000426,10
16,729.324249,5.334407,-0.002871,15
17,776.4617920000001,4.978608,-0.001197,10
18,523.181015,9.408718,-0.002422,5
19,1041.137939,3.666834,-0.000782,5
20,314.903095,11.555212,-5.4e-05,10
21,1039.44397,3.671125,-0.000462,5
22,671.036163,5.699174,-0.000969,5
23,1056.193115,3.600178,-6e-05,5
24,779.075287,4.725043,-0.0005,5
25,638.3623660000001,6.094426,-0.000861,5
26,912.849731,4.141756,-0.000519,5
27,557.6369930000001,8.226635,-0.003654,5
28,691.160736,5.476648,-0.001051,5
29,579.0497439999999,7.298563,-0.003313,5
30,863.889282,4.387281,0.000141,5
31,479.01834099999996,10.735869,-0.001977,10
32,522.289856,9.998725,-0.0043,10
33,569.31958,8.42013,-0.007272,10
34,750.229065,4.894489,-2.9e-05,5
35,883.243042,4.319516,-0.000191,5
36,1049.310059,3.632095,-1.9e-05,5
37,1109.670959,3.306589,-0.000273,5
38,776.524628,4.740061,-0.000331,5
39,962.928284,3.944909,-0.0002,5
40,984.946472,3.873228,-0.000711,5
41,1029.24054,3.721092,-0.000792,5
42,1108.848877,3.310889,-0.000419,5
43,667.494873,6.074812,-0.002347,10
44,719.003571,5.193977,-0.000701,5
45,1028.348328,3.724095,-0.000212,5
46,302.113091,11.435926,-0.00012,15
47,485.880081,10.655933,-0.002167,10
48,514.68956,9.663074,-0.001392,5
49,446.824097,10.610255,-0.000569,5
50,789.69873,4.669403,-0.00053,5
51,330.325588,11.183191,-0.000311,5
52,620.485565,6.74375,-0.004602,15
53,888.311829,4.301312,-3e-05,5
54,581.409271,8.103703,-0.011258,15
55,493.032654,10.111692,-0.001369,5
56,815.158386,4.553312,-0.000802,5
57,974.145264,3.909851,-0.00012,5
58,766.206421,5.04382,-0.001008,10
59,476.161057,10.363031,-0.001853,5
60,543.084869,8.766742,-0.002863,5
61,1019.783447,3.759727,-0.00014,5
62,756.2325129999999,5.120402,-0.001067,10
63,480.196152,10.724809,-0.001506,10
64,770.14447,4.773893,-0.000849,5
65,1092.2636109999999,3.806686,-0.000946,10
66,345.592079,11.079138,0.000261,5
67,941.096375,4.014046,-0.00075,5
68,1096.258423,3.385852,-0.000126,5
69,1051.701599,3.95471,-0.000389,10
70,722.532104,5.158345,-0.000971,5
71,340.52253,11.489728,-0.001054,10
72,1166.723938,2.929649,-0.000625,5
73,1004.045044,4.084837,6.4e-05,10
74,1106.01709,3.328591,-0.000522,5
75,330.732399,11.182089,-0.000519,5
76,441.409485,10.636587,-1e-06,5
77,341.374565,11.114294,0.0001,5
78,637.0671689999999,6.107645,-0.001492,5
79,656.662048,5.867626,-0.00054,5
80,1057.4956670000001,3.935009,-0.000757,10
81,977.16095,3.900651,-0.00058,5
82,1155.561035,3.013315,-0.00078,5
83,917.647339,4.415308,-0.000847,10
84,877.21582,4.574573,1.2e-05,10
85,777.243744,4.971967,-0.001168,10
86,426.66986099999997,10.69504,-0.000281,5
87,524.812225,9.353262,-0.003454,5
88,919.214661,4.405929,-0.001157,10
89,686.180878,5.530103,-0.00114,5
90,1101.81012,3.356233,-0.000251,5
91,799.230103,4.619864,-0.000741,5
92,1000.116028,4.094313,2.3e-05,10
93,580.898407,8.126218,-0.011088,15
94,435.212402,10.665012,-0.00034,5
95,450.292709,10.939541,-0.000914,10
96,752.1834719999999,5.107183,-0.001931,15
97,792.721863,4.891939,-0.000438,10
98,964.006226,3.945298,8e-05,5
99,1123.66394,3.68526,-0.000408,10
100,525.200012,9.965052,-0.006053,15
101,679.600189,5.885913,-0.003161,15
102,436.681824,10.907496,-0.001217,15
103,486.21958900000004,10.651501,-0.002207,10
104,1130.2296139999999,3.183262,-0.000243,5
105,635.167023,6.132663,-0.001151,5
106,610.31958,6.510215,-0.001482,5
107,329.481613,11.188099,-0.000399,5
108,774.947388,4.747779,-0.00066,5
109,1088.5421139999999,3.430196,-0.001039,5
110,607.974213,6.981312,-0.003579,10
111,838.125671,4.477456,0.000181,5
112,440.33013900000003,10.894451,-0.000635,15
113,1151.3031620000002,3.042938,-0.00035,5
114,491.101563,10.144018,-0.001571,5
115,322.294308,11.433892,-0.000236,15
116,325.633877,11.205124,-0.00041,5
117,607.6765439999999,6.555459,-0.001542,5
118,1034.117798,3.699067,-0.000162,5
119,472.926315,10.797955,-0.001706,10
120,748.374847,5.196227,-0.001508,10
121,316.45077100000003,11.233072,-0.000341,5
122,1128.7432250000002,3.760849,-0.001274,15
123,553.123871,9.024231,-0.005679,10
124,973.124573,3.91326,-0.000182,5
125,1132.564331,3.170553,-0.000151,5
126,569.378021,7.718863,-0.004324,5
127,429.368088,10.687225,-0.0001,5
128,700.358459,5.695037,-0.001908,10
129,1172.988586,2.889505,-0.000461,5
130,628.2987370000001,6.60861,-0.002659,10
131,540.208313,9.442737,-0.006048,10
132,503.775482,9.913807,-0.002054,5
133,743.40564,5.246633,-0.001658,10
134,1022.653198,3.748317,-0.000321,5
135,841.298523,4.465345,-0.000451,5
136,615.6101679999999,6.421937,-0.001542,5
